,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass,distanceSumHi,distanceSumLow,differentialDistanceFromRoof65,differentialDistanceFromRoof67,differentialDistanceFromRoof57
300,55.59,16.09,54.78,17.55,51.73,57.48,96.38,BALL_CENTER,71.68,72.33,5.75,-38.9,-44.65
301,55.97,16.05,55.27,17.48,51.25,57.84,37.64,BALL_CENTER,72.02,72.75,6.590000000000003,20.200000000000003,13.61
302,56.4,16.06,55.29,17.48,51.27,57.42,109.68,BALL_CENTER,72.46,72.77,6.149999999999999,-52.260000000000005,-58.410000000000004
303,56.32,16.04,54.86,17.55,51.26,58.3,116.21,BALL_CENTER,72.36,72.41,7.039999999999999,-57.91,-64.94999999999999
304,55.08,15.96,54.87,17.62,51.24,58.28,78.56,BALL_CENTER,71.03999999999999,72.49,7.039999999999999,-20.28,-27.32
305,55.11,15.96,55.22,17.57,51.71,57.86,111.51,BALL_CENTER,71.07,72.78999999999999,6.149999999999999,-53.650000000000006,-59.800000000000004
306,55.01,16.01,55.23,17.59,51.29,57.44,99.77,BALL_CENTER,71.02,72.82,6.149999999999999,-42.33,-48.48
307,55.13,16.02,55.24,17.53,51.68,58.77,115.04,BALL_CENTER,71.15,72.77000000000001,7.090000000000003,-56.27,-63.36000000000001
308,56.0,16.01,54.89,17.53,51.69,57.43,71.26,BALL_CENTER,72.01,72.42,5.740000000000002,-13.830000000000005,-19.570000000000007
311,55.5,16.0,55.21,17.56,51.6,57.84,108.1,BALL_CENTER,71.5,72.77,6.240000000000002,-50.25999999999999,-56.49999999999999
312,56.37,16.05,54.81,17.6,51.65,57.42,39.4,BALL_CENTER,72.42,72.41,5.770000000000003,18.020000000000003,12.25
325,18.62,18.8,18.68,17.17,50.83,63.06,68.93,BEER_BOTTLE,37.42,35.85,12.230000000000004,-5.8700000000000045,-18.10000000000001
326,17.84,18.77,18.69,17.16,50.36,62.24,36.11,BEER_BOTTLE,36.61,35.85,11.880000000000003,26.130000000000003,14.25
327,18.24,18.76,18.69,17.14,50.36,62.23,21.86,BEER_BOTTLE,37.0,35.83,11.869999999999997,40.37,28.5
328,18.27,18.84,18.67,17.22,50.4,62.16,14.2,BEER_BOTTLE,37.11,35.89,11.759999999999998,47.959999999999994,36.2
329,17.81,18.8,18.66,17.12,50.45,62.63,109.13,BEER_BOTTLE,36.61,35.78,12.18,-46.49999999999999,-58.67999999999999
330,17.91,18.85,18.71,17.16,50.44,62.26,112.1,BEER_BOTTLE,36.760000000000005,35.870000000000005,11.82,-49.839999999999996,-61.66
331,17.8,18.75,18.7,17.17,50.42,62.17,106.78,BEER_BOTTLE,36.55,35.870000000000005,11.75,-44.61,-56.36
332,17.86,18.87,18.69,17.12,50.81,62.64,112.35,BEER_BOTTLE,36.730000000000004,35.81,11.829999999999998,-49.709999999999994,-61.53999999999999
