,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass
109,19.04,52.9,33.39,18.09,50.9,2114.28,44.28,SOAP_BOTTLE_SIDE
110,18.99,53.17,33.3,18.0,50.88,2114.41,81.35,SOAP_BOTTLE_SIDE
407,20.84,39.31,34.4,18.66,50.63,2107.74,89.31,SOAP_BOTTLE_SIDE
408,20.49,38.89,34.33,19.09,51.04,2107.6,83.65,SOAP_BOTTLE_SIDE
409,21.32,39.22,34.71,19.13,51.1,2107.69,113.8,SOAP_BOTTLE_SIDE
410,20.89,39.7,33.95,19.04,51.05,2106.68,81.21,SOAP_BOTTLE_SIDE
411,20.94,39.66,33.91,19.14,51.06,2108.05,120.5,SOAP_BOTTLE_SIDE
412,20.93,38.86,33.88,19.1,51.0,2106.89,108.36,SOAP_BOTTLE_SIDE
413,20.89,39.14,33.97,19.1,50.99,2106.86,113.53,SOAP_BOTTLE_SIDE
414,20.85,38.46,33.95,19.12,51.08,2108.49,113.08,SOAP_BOTTLE_SIDE
415,22.55,38.75,33.95,19.11,51.04,2107.86,112.59,SOAP_BOTTLE_SIDE
416,20.82,38.86,33.93,19.05,51.05,2107.67,59.88,SOAP_BOTTLE_SIDE
419,20.92,38.42,33.93,18.38,51.08,2108.1,113.19,SOAP_BOTTLE_SIDE
420,20.87,38.81,34.31,19.06,51.02,2107.56,113.05,SOAP_BOTTLE_SIDE
421,20.97,38.8,33.95,19.08,51.08,2107.22,111.84,SOAP_BOTTLE_SIDE
422,20.82,38.42,33.93,19.11,51.01,2107.98,108.62,SOAP_BOTTLE_SIDE
423,21.37,38.38,34.29,19.12,51.05,2107.38,110.44,SOAP_BOTTLE_SIDE
223,22.51,17.41,17.93,20.99,50.27,109.89,110.14,SQUARE_MILK_45
224,22.57,17.37,18.01,21.48,50.36,2107.67,109.62,SQUARE_MILK_45
225,22.63,17.36,17.91,20.53,50.3,2107.24,110.37,SQUARE_MILK_45
226,22.64,17.32,17.89,20.56,50.25,2106.79,110.62,SQUARE_MILK_45
227,22.6,17.37,17.95,21.46,50.38,2107.4,108.9,SQUARE_MILK_45
228,20.91,17.34,17.98,20.57,50.33,2107.55,114.25,SQUARE_MILK_45
229,22.56,17.37,17.86,20.6,50.8,2108.85,110.54,SQUARE_MILK_45
