,HCSR04_001,HCSR04_002,HCSR04_003,HCSR04_004,HCSR04_005,HCSR04_006,HCSR04_007,ObjectClass,HCSR04_001_empty,HCSR04_002_empty,HCSR04_003_empty,HCSR04_004_empty,HCSR04_005_empty,HCSR04_006_empty,HCSR04_007_empty,HCSR04_001_BIN,HCSR04_002_BIN,HCSR04_003_BIN,HCSR04_004_BIN,HCSR04_005_BIN,HCSR04_006_BIN,HCSR04_007_BIN
138,48.39,50.81,51.04,48.16,25.8,26.28,110.1,5,0,0,0,0,0,0,1,1,1,1,1,0,0,1
139,13.23,34.7,35.68,12.82,57.15,2101.42,53.06,6,0,0,0,0,0,0,0,2,0,0,2,1,1,1
140,13.39,34.69,35.6,12.99,58.05,2100.45,71.89,6,0,0,0,0,0,0,0,2,0,0,2,1,1,1
141,13.75,34.62,35.6,12.86,57.93,2100.32,100.84,6,0,0,0,0,0,0,0,2,0,0,2,1,1,1
142,13.75,34.7,35.7,12.86,58.01,2100.69,107.32,6,0,0,0,0,0,0,1,2,0,0,2,1,1,1
143,13.73,34.71,35.69,12.84,57.13,2103.23,69.51,6,0,0,0,0,0,0,0,2,0,0,2,1,1,1
144,13.83,34.26,35.66,12.92,57.19,2103.05,117.54,6,0,0,0,0,0,0,0,2,0,0,2,1,1,1
145,14.54,34.66,35.66,12.97,57.19,2103.32,116.63,6,0,0,0,0,0,0,0,2,0,0,2,1,1,1
146,13.78,34.6,35.62,12.9,58.03,2103.34,116.06,6,0,0,0,0,0,0,0,2,0,0,2,1,1,1
147,13.75,34.74,35.72,12.91,57.53,2104.13,119.46,6,0,0,0,0,0,0,0,2,0,0,2,1,1,1
148,13.14,35.15,36.3,13.47,57.69,2107.73,109.26,6,0,0,0,0,0,0,1,2,0,0,2,1,1,1
149,13.12,35.11,36.22,13.51,57.67,2107.93,43.63,6,0,0,0,0,0,0,0,2,0,0,2,1,1,1
150,13.14,35.09,36.28,13.51,58.55,2107.81,110.17,6,0,0,0,0,0,0,1,2,0,0,2,1,1,1
151,13.14,35.14,36.24,13.49,57.64,2108.89,109.56,6,0,0,0,0,0,0,1,2,0,0,2,1,1,1
152,13.11,35.07,36.24,13.55,57.71,2109.42,109.08,6,0,0,0,0,0,0,1,2,0,0,2,1,1,1
153,13.12,35.13,36.21,13.52,57.68,2109.11,109.04,6,0,0,0,0,0,0,1,2,0,0,2,1,1,1
154,13.19,35.14,36.4,13.48,58.63,2108.37,112.13,6,0,0,0,0,0,0,0,2,0,0,2,1,1,1
155,13.1,35.13,36.25,13.5,58.05,2108.02,70.03,6,0,0,0,0,0,0,0,2,0,0,2,1,1,1
156,13.17,35.2,36.2,13.52,57.69,2107.02,110.3,6,0,0,0,0,0,0,1,2,0,0,2,1,1,1
157,13.17,35.07,36.31,13.47,57.65,2109.24,107.59,6,0,0,0,0,0,0,1,2,0,0,2,1,1,1
158,13.13,35.17,36.17,13.49,57.64,2109.33,109.19,6,0,0,0,0,0,0,1,2,0,0,2,1,1,1
159,13.26,35.08,35.81,13.48,58.16,2109.01,108.85,6,0,0,0,0,0,0,1,2,0,0,2,1,1,1
160,13.21,35.17,36.25,13.55,58.51,2109.17,108.69,6,0,0,0,0,0,0,1,2,0,0,2,1,1,1
161,13.1,35.1,35.89,13.49,58.16,2109.1,109.9,6,0,0,0,0,0,0,1,2,0,0,2,1,1,1
162,13.13,35.14,36.27,13.46,57.67,2109.05,109.19,6,0,0,0,0,0,0,1,2,0,0,2,1,1,1
163,13.15,35.15,36.33,13.43,57.64,2107.88,109.45,6,0,0,0,0,0,0,1,2,0,0,2,1,1,1
164,13.14,35.47,35.89,13.52,58.14,2109.01,112.85,6,0,0,0,0,0,0,0,2,0,0,2,1,1,1
165,16.99,15.77,15.69,16.25,50.74,2115.85,111.68,7,0,0,0,0,0,0,0,2,2,2,2,1,1,1
166,16.49,15.73,15.69,16.26,51.15,2114.61,111.24,7,0,0,0,0,0,0,1,2,2,2,2,1,1,1
167,16.53,15.73,15.65,16.27,51.21,2114.15,106.55,7,0,0,0,0,0,0,1,2,2,2,2,1,1,1
168,16.6,15.67,15.74,16.34,50.72,2115.68,108.88,7,0,0,0,0,0,0,1,2,2,2,2,1,1,1
169,16.52,15.77,15.72,16.25,50.77,2114.65,111.15,7,0,0,0,0,0,0,1,2,2,2,2,1,1,1
170,16.58,16.16,15.68,16.29,51.13,2114.14,111.21,7,0,0,0,0,0,0,1,2,2,2,2,1,1,1
171,16.56,15.71,15.71,16.34,51.18,2114.29,106.17,7,0,0,0,0,0,0,1,2,2,2,2,1,1,1
172,16.59,15.71,15.71,16.24,51.15,2115.22,107.8,7,0,0,0,0,0,0,1,2,2,2,2,1,1,1
173,16.54,15.65,15.68,16.29,51.16,2114.36,107.74,7,0,0,0,0,0,0,1,2,2,2,2,1,1,1
174,16.59,15.71,15.75,16.24,51.16,2115.57,76.87,7,0,0,0,0,0,0,0,2,2,2,2,1,1,1
175,16.55,15.71,15.64,16.31,51.19,2114.61,82.84,7,0,0,0,0,0,0,0,2,2,2,2,1,1,1
176,16.54,15.71,15.66,16.26,51.23,2115.58,99.88,7,0,0,0,0,0,0,0,2,2,2,2,1,1,1
177,16.52,15.78,15.73,16.31,51.22,2114.08,88.3,7,0,0,0,0,0,0,0,2,2,2,2,1,1,1
178,16.6,15.77,15.69,16.36,51.21,2114.69,105.58,7,0,0,0,0,0,0,1,2,2,2,2,1,1,1
179,16.63,15.7,15.68,16.34,51.24,2114.17,107.97,7,0,0,0,0,0,0,1,2,2,2,2,1,1,1
180,16.52,15.75,15.72,16.29,50.76,2114.69,65.05,7,0,0,0,0,0,0,0,2,2,2,2,1,1,1
181,16.58,15.68,15.72,16.31,51.14,2114.07,107.37,7,0,0,0,0,0,0,1,2,2,2,2,1,1,1
182,16.47,15.71,15.66,16.29,50.76,2114.13,104.69,7,0,0,0,0,0,0,1,2,2,2,2,1,1,1
183,16.59,15.71,15.64,16.27,51.25,2115.25,106.37,7,0,0,0,0,0,0,1,2,2,2,2,1,1,1
184,16.51,15.75,15.74,16.22,51.15,2114.47,109.73,7,0,0,0,0,0,0,1,2,2,2,2,1,1,1
185,16.6,15.75,15.7,16.33,51.23,2114.04,106.96,7,0,0,0,0,0,0,1,2,2,2,2,1,1,1
186,16.54,15.71,15.72,16.2,51.2,2114.55,109.23,7,0,0,0,0,0,0,1,2,2,2,2,1,1,1
187,16.58,15.72,15.68,16.35,50.78,2113.89,106.75,7,0,0,0,0,0,0,1,2,2,2,2,1,1,1
188,16.53,15.7,15.67,16.23,51.21,2113.85,106.28,7,0,0,0,0,0,0,1,2,2,2,2,1,1,1
189,16.6,15.67,15.75,16.25,50.82,2114.73,107.1,7,0,0,0,0,0,0,1,2,2,2,2,1,1,1
190,16.61,15.73,15.67,16.28,50.79,2114.78,101.54,7,0,0,0,0,0,0,0,2,2,2,2,1,1,1
191,16.6,16.23,15.64,16.23,50.82,2113.66,106.68,7,0,0,0,0,0,0,1,2,2,2,2,1,1,1
192,17.26,16.89,17.01,16.39,51.51,2106.66,108.2,7,0,0,0,0,0,0,1,2,2,2,2,1,1,1
193,17.26,16.79,16.98,16.47,50.99,2107.03,86.48,7,0,0,0,0,0,0,0,2,2,2,2,1,1,1
194,17.3,16.88,17.0,16.44,51.03,2106.86,108.57,7,0,0,0,0,0,0,1,2,2,2,2,1,1,1
195,17.33,16.9,16.99,16.41,51.11,2107.22,112.84,7,0,0,0,0,0,0,0,2,2,2,2,1,1,1
196,17.34,16.86,16.55,16.47,51.05,2105.55,90.48,7,0,0,0,0,0,0,0,2,2,2,2,1,1,1
197,17.68,16.87,16.63,16.46,51.09,2106.7,103.88,7,0,0,0,0,0,0,0,2,2,2,2,1,1,1
198,17.24,16.89,17.01,16.46,51.44,2106.36,109.05,7,0,0,0,0,0,0,1,2,2,2,2,1,1,1
199,17.72,16.63,16.93,16.48,51.43,2107.0,79.25,7,0,0,0,0,0,0,0,2,2,2,2,1,1,1
200,19.46,53.24,33.39,18.03,50.87,2114.0,107.46,8,0,0,0,0,0,0,1,2,1,0,2,1,1,1
201,19.38,53.2,33.37,18.0,50.84,2113.53,31.86,8,0,0,0,0,0,0,0,2,1,0,2,1,1,0
202,19.47,53.24,33.85,18.04,50.89,2113.84,107.57,8,0,0,0,0,0,0,1,2,1,0,2,1,1,1
203,18.96,52.77,33.79,18.05,51.26,2114.44,109.12,8,0,0,0,0,0,0,1,2,1,0,2,1,1,1
204,19.04,53.2,33.82,18.04,51.29,2113.32,105.8,8,0,0,0,0,0,0,1,2,1,0,2,1,1,1
205,19.02,53.21,33.85,17.99,50.9,2113.86,106.55,8,0,0,0,0,0,0,1,2,1,0,2,1,1,1
206,19.03,52.85,33.81,17.98,50.86,2113.79,111.21,8,0,0,0,0,0,0,1,2,1,0,2,1,1,1
207,19.02,53.25,33.74,17.99,50.91,2113.38,62.2,8,0,0,0,0,0,0,0,2,1,0,2,1,1,1
208,19.09,54.12,33.84,18.02,50.85,2113.28,105.47,8,0,0,0,0,0,0,1,2,1,0,2,1,1,1
209,19.05,54.08,33.33,18.0,50.93,2113.43,106.46,8,0,0,0,0,0,0,1,2,1,0,2,1,1,1
210,19.04,52.9,33.39,18.09,50.9,2114.28,44.28,8,0,0,0,0,0,0,0,2,1,0,2,1,1,1
211,18.99,53.17,33.3,18.0,50.88,2114.41,81.35,8,0,0,0,0,0,0,0,2,1,0,2,1,1,1
212,20.84,39.31,34.4,18.66,50.63,2107.74,89.31,8,0,0,0,0,0,0,0,0,0,0,2,1,1,1
213,20.49,38.89,34.33,19.09,51.04,2107.6,83.65,8,0,0,0,0,0,0,0,0,0,0,2,1,1,1
214,21.32,39.22,34.71,19.13,51.1,2107.69,113.8,8,0,0,0,0,0,0,0,0,0,0,2,1,1,1
215,20.89,39.7,33.95,19.04,51.05,2106.68,81.21,8,0,0,0,0,0,0,0,0,0,0,2,1,1,1
